run_id	crop	combo_key	param_name	param_value	lower_bound	upper_bound	is_at_lower_bound	is_at_upper_bound	normalized_distance_to_b0
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_1_3b9f02		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_2_4f3a38		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_3_65c08e		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O1_G3_S2_Wheat_4_144b89		W8_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S1_Wheat_0_b944f8		W8_O2_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S1_Wheat_1_094817		W8_O2_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S1_Wheat_2_7ca722		W8_O2_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S1_Wheat_3_082c54		W8_O2_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S1_Wheat_4_76bc15		W8_O2_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S2_Wheat_0_c7c287		W8_O2_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S2_Wheat_1_496305		W8_O2_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S2_Wheat_2_86b24b		W8_O2_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
B0_Wheat_0_d348f7		B0	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
B0_Wheat_0_d348f7		B0	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
B0_Wheat_0_d348f7		B0	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
B0_Wheat_0_d348f7		B0	g1	12.87	5.0	30.0	False	False	0.31479999987407997
B0_Wheat_0_d348f7		B0	g2	62.22	30.0	60.0	False	True	1.073999999642
B0_Wheat_0_d348f7		B0	g3	2.215	0.5	2.1	False	True	1.0718749933007812
B0_Wheat_0_d348f7		B0	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S2_Wheat_3_08e457		W8_O2_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S1_Wheat_0_745510		W4_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W8_O2_G3_S2_Wheat_4_e9f4d0		W8_O2_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S1_Wheat_1_52b8ec		W4_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S1_Wheat_2_84934a		W4_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S2_Wheat_0_74427b		W4_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S1_Wheat_4_9b7313		W4_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S2_Wheat_1_814b06		W4_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S1_Wheat_3_80635d		W4_O1_G3_S1	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S2_Wheat_3_636f81		W4_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S2_Wheat_4_ded4f3		W4_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	p5	331.4	550.0	999.0	True	False	-0.4868596881851479
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	g1	12.87	5.0	30.0	False	False	0.31479999987407997
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	g2	62.22	30.0	60.0	False	True	1.073999999642
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	g3	2.215	0.5	2.1	False	True	1.0718749933007812
W4_O1_G3_S2_Wheat_2_714eed		W4_O1_G3_S2	phint	86.0	95.0	167.0	True	False	-0.1249999999826389
B1_Wheat_0_d27909		B1	p1v	9.33	5.0	60.0	False	False	0.07872727271295868
B1_Wheat_0_d27909		B1	p1d	3.12	0.0	95.0	False	False	0.032842105259700834
