run_id	plan	weight	engine	budget	sequence	grouping	status	trt	split	metric	observed	simulated	error	abs_error	relative_error
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	cwam	3957.0	5102.0	1145.0	1145.0	0.2893606267366961
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	8	train	cwam	6121.0	7622.0	1501.0	1501.0	0.24522136905694294
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	9	train	cwam	8494.0	9020.0	526.0	526.0	0.061926065457897424
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	13	train	cwam	9946.0	11016.0	1070.0	1070.0	0.1075809370600165
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	14	train	cwam	10142.0	11367.0	1225.0	1225.0	0.12078485505805482
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	1	valid	hwam	1617.0	1583.0	-34.0	34.0	0.02102659245503385
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	hwam	1578.0	2223.0	645.0	645.0	0.4087452471456987
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	8	train	hwam	2754.0	2210.0	-544.0	544.0	0.19753086419681362
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	9	train	hwam	3792.0	2858.0	-934.0	934.0	0.24630801687698758
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	13	train	hwam	5425.0	5671.0	246.0	246.0	0.04534562211973208
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	14	train	hwam	4883.0	5673.0	790.0	790.0	0.16178578742543154
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	1	valid	hwum	19.8	0.037	-19.763	19.763	0.9981313126272064
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	2	train	hwum	19.5	0.047	-19.453	19.453	0.9975897430781591
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	8	train	hwum	26.4	0.03	-26.369999999999997	26.369999999999997	0.9988636359852788
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	9	train	hwum	25.9	0.033	-25.866999999999997	25.866999999999997	0.9987258683402602
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	13	train	hwum	24.1	0.058	-24.042	24.042	0.9975933605819114
B1_Wheat_0_d27909	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	14	train	hwum	23.5	0.058	-23.442	23.442	0.9975319144691354
