run_id	score_rank	combo_key	plan	weight	engine	budget	sequence	grouping	status	score	metric	split	trt	panel_key	series_key	point_key	x_observed	y_simulated	residual	abs_residual	relative_error	panel_count	panel_nrmse	panel_bias
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	valid	1	hwum|valid	B0	B0_Wheat_0_d348f7|hwum|t1	19.8	0.037	-19.763	19.763	0.9981313126272064	1	0.9981313126272064	-0.9981313126272064
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	2	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t2	19.5	0.047	-19.453	19.453	0.9975897430781591	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	8	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t8	26.4	0.03	-26.369999999999997	26.369999999999997	0.9988636359852788	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	9	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t9	25.9	0.033	-25.866999999999997	25.866999999999997	0.9987258683402602	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	13	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t13	24.1	0.058	-24.042	24.042	0.9975933605819114	5	1.0033561874987271	-0.9981072022620989
B0_Wheat_0_d348f7	1	B0	Baselines	w0_raw_identity	default_dssat	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	hwum	train	14	hwum|train	B0	B0_Wheat_0_d348f7|hwum|t14	23.5	0.058	-23.442	23.442	0.9975319144691354	5	1.0033561874987271	-0.9981072022620989
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	valid	1	laix|valid	B1	B1_Wheat_0_d27909|laix|t1	1.22	2.2	0.9800000000000002	0.9800000000000002	0.8032786819403389	1	0.8032786819403389	0.8032786819403389
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	2	laix|train	B1	B1_Wheat_0_d27909|laix|t2	1.61	2.3	0.6899999999999997	0.6899999999999997	0.42857142590949404	5	0.3934980598043878	0.26954921679140187
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	8	laix|train	B1	B1_Wheat_0_d27909|laix|t8	1.36	2.5	1.14	1.14	0.8382352879541523	5	0.3934980598043878	0.26954921679140187
B1_Wheat_0_d27909	1	B1	Baselines	w0_raw_identity	o1_least_squares	standard	s1_naive_joint	g1_flat_all_in_one	success	0.4859582607465722	laix	train	9	laix|train	B1	B1_Wheat_0_d27909|laix|t9	1.44	2.8	1.3599999999999999	1.3599999999999999	0.9444444378858025	5	0.3934980598043878	0.26954921679140187
